# IR (EU) 2025/2621 — DVs as adopted v2026-02-04 (India sheet)
# source: DVs as adopted_v20260204 .xlsx
id,section,cn_display,cn_norm,description,direct,indirect,total,marked_2026,marked_2027,marked_2028,markup_2026_pct,route_marker
25231000-1,Cement,2523 10 00,25231000,White clinker,1.35,0.07,1.41,1.551,1.692,1.833,10,(B)
25231000-2,Cement,2523 10 00,25231000,Grey clinker,1.39,0.05,1.44,1.584,1.728,1.872,10,(A)
25232100-3,Cement,2523 21 00,25232100,White Portland cement,1.33,0.14,1.47,1.617,1.764,1.911,10,
25232900-4,Cement,2523 29 00,25232900,Grey Portland cement,1.39,0.09,1.48,1.628,1.776,1.924,10,
25233000-5,Cement,2523 30 00,25233000,Aluminous cement,2.05,0.24,2.29,2.519,2.748,2.977,10,
28080000-6,Fertilisers,2808 00 00,28080000,Nitric acid; sulphonitric acids,1.94,0.07,2.01,2.0301,2.0301,2.0301,1,
28141000-7,Fertilisers,28141000,28141000,Anhydrous ammonia,3.06,0.22,3.28,3.3128,3.3128,3.3128,1,
28142000-8,Fertilisers,28142000,28142000,Ammonia in aqueous solution,0.92,0.07,0.99,0.9999,0.9999,0.9999,1,
28342100-9,Fertilisers,2834 21 00,28342100,Nitrate of potassium,1.86,0.1,1.96,1.9796,1.9796,1.9796,1,
31021012-10,Fertilisers,3102 10 12,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.68,0.06,0.74,0.7474,0.7474,0.7474,1,
31021015-11,Fertilisers,3102 10 15,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",1.13,0.06,1.18,1.1918,1.1918,1.1918,1,
31021019-12,Fertilisers,3102 10 19,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",2.05,0.17,2.22,2.2422,2.2422,2.2422,1,
31021090-13,Fertilisers,3102 10 90,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",2.0,0.16,2.17,2.1917,2.1917,2.1917,1,
31022100-14,Fertilisers,3102 21 00,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.89,0.12,1.01,1.0201,1.0201,1.0201,1,
31022900-15,Fertilisers,3102 29 00,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,1.41,0.14,1.55,1.5655,1.5655,1.5655,1,
31023010-16,Fertilisers,3102 30 10,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),1.42,0.11,1.52,1.5352,1.5352,1.5352,1,
31023090-17,Fertilisers,3102 30 90,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.18,0.16,2.34,2.3634,2.3634,2.3634,1,
31024010-18,Fertilisers,3102 40 10,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.89,0.15,2.04,2.0604,2.0604,2.0604,1,
31024090-19,Fertilisers,3102 40 90,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.89,0.15,2.04,2.0604,2.0604,2.0604,1,
31025000-20,Fertilisers,3102 50 00,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",3.03,0.11,3.14,3.1714,3.1714,3.1714,1,
31026000-21,Fertilisers,3102 60 00,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.83,0.14,1.97,1.9897,1.9897,1.9897,1,
31028000-22,Fertilisers,3102 80 00,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),1.62,0.13,1.75,1.7675,1.7675,1.7675,1,
31029000-23,Fertilisers,3102 90 00,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),1.85,0.15,2.01,2.0301,2.0301,2.0301,1,
31051000-24,Fertilisers,3105 10 00,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",0.85,0.12,0.98,0.9898,0.9898,0.9898,1,
31052010-25,Fertilisers,3105 20 10,31052010,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.97,0.15,1.12,1.1312,1.1312,1.1312,1,
31052090-26,Fertilisers,3105 20 90,31052090,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.66,0.11,0.77,0.7777,0.7777,0.7777,1,
31053000-27,Fertilisers,3105 30 00,31053000,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.72,0.09,0.81,0.8181,0.8181,0.8181,1,
31054000-28,Fertilisers,3105 40 00,31054000,"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.45,0.07,0.53,0.5353,0.5353,0.5353,1,
31055100-29,Fertilisers,3105 51 00,31055100,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates),1.31,0.18,1.49,1.5049,1.5049,1.5049,1,
31055900-30,Fertilisers,3105 59 00,31055900,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates),0.82,0.15,0.97,0.9797,0.9797,0.9797,1,
31059020-31,Fertilisers,3105 90 20,31059020,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.27,0.11,1.38,1.3938,1.3938,1.3938,1,
31059080-32,Fertilisers,3105 90 80,31059080,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)",0.66,0.08,0.73,0.7373,0.7373,0.7373,1,
7601-33,Aluminium,7601,7601,Unwrought aluminium,1.87,,1.87,2.057,2.244,2.431,10,(K)
7603-34,Aluminium,7603,7603,Aluminium powders and flakes,3.0713,,3.0713,3.3784,3.6855,3.9926,10,(K)
76041010-35,Aluminium,76041010,76041010,Bars and rods,3.4125,,3.4125,3.7538,4.095,4.4363,10,(K)
76041090-36,Aluminium,76041090,76041090,Profiles,3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
76042100-37,Aluminium,76042100,76042100,Hollow profiles,3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
76042910-38,Aluminium,76042910,76042910,Bars and rods,3.4125,,3.4125,3.7538,4.095,4.4363,10,(K)
76042990-39,Aluminium,76042990,76042990,Profiles,3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
7605-40,Aluminium,7605,7605,Aluminium wire,2.594,,2.594,2.8534,3.1128,3.3722,10,(K)
7606-41,Aluminium,7606,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
7607-42,Aluminium,7607,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm",4.126,,4.126,4.5386,4.9512,5.3638,10,(K)
7608-43,Aluminium,7608,7608,Aluminium tubes and pipes,3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
76090000-44,Aluminium,76090000,76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",3.4435,,3.4435,3.7879,4.1322,4.4766,10,(K)
